ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	adj.P.Val	P.Value	t	B	logFC	
213385_at	5.86E-02	9.90E-03	-2.7093513	-2.952209	-0.39244177	CHN2	5.86E-02	9.90E-03	-2.7093513	-2.952209	-0.39244177	down
1556914_at	5.86E-02	9.90E-03	2.7091475	-2.952667	0.35143961	LOC100652911	5.86E-02	9.90E-03	2.7091475	-2.952667	0.35143961	up
220661_s_at	5.86E-02	9.91E-03	-2.7088177	-2.953409	-0.22581935	ZNF692	5.86E-02	9.91E-03	-2.7088177	-2.953409	-0.22581935	down
215420_at	5.86E-02	9.91E-03	2.7087607	-2.953537	0.25710507	IHH	5.86E-02	9.91E-03	2.7087607	-2.953537	0.25710507	up
204825_at	5.86E-02	9.91E-03	2.7086859	-2.953705	0.3734624	MELK	5.86E-02	9.91E-03	2.7086859	-2.953705	0.3734624	up
214266_s_at	5.86E-02	9.91E-03	2.7086373	-2.953815	0.30778926	PDLIM7	5.86E-02	9.91E-03	2.7086373	-2.953815	0.30778926	up
231924_at	5.86E-02	9.92E-03	2.7085798	-2.953944	0.23745197	LINC00958	5.86E-02	9.92E-03	2.7085798	-2.953944	0.23745197	up
236247_at	5.87E-02	9.93E-03	-2.7081891	-2.954822	-0.20622635	NSUN4	5.87E-02	9.93E-03	-2.7081891	-2.954822	-0.20622635	down
225596_at	5.87E-02	9.93E-03	-2.7081395	-2.954934	-0.35036609	KLC4	5.87E-02	9.93E-03	-2.7081395	-2.954934	-0.35036609	down
214348_at	5.87E-02	9.93E-03	2.7080983	-2.955026	0.27524702	TACR2	5.87E-02	9.93E-03	2.7080983	-2.955026	0.27524702	up
1558777_at	5.87E-02	9.93E-03	2.7080868	-2.955052	0.2887544	MKL2	5.87E-02	9.93E-03	2.7080868	-2.955052	0.2887544	up
228546_at	5.87E-02	9.93E-03	-2.7079565	-2.955345	-0.50173952	DPP6	5.87E-02	9.93E-03	-2.7079565	-2.955345	-0.50173952	down
231156_at	5.87E-02	9.93E-03	-2.7078484	-2.955588	-1.08933759	HAO2	5.87E-02	9.93E-03	-2.7078484	-2.955588	-1.08933759	down
243674_at	5.87E-02	9.94E-03	-2.707766	-2.955773	-0.26502784	LOC102723709///LOC102723678	5.87E-02	9.94E-03	-2.707766	-2.955773	-0.26502784	down
217683_at	5.88E-02	9.95E-03	2.7073236	-2.956768	0.25641418	HBE1	5.88E-02	9.95E-03	2.7073236	-2.956768	0.25641418	up
222314_x_at	5.88E-02	9.95E-03	-2.7070908	-2.957291	-0.29571409	EGOT	5.88E-02	9.95E-03	-2.7070908	-2.957291	-0.29571409	down
1554857_at	5.88E-02	9.96E-03	2.7068606	-2.957808	0.18963309	ELMO2	5.88E-02	9.96E-03	2.7068606	-2.957808	0.18963309	up
239286_at	5.88E-02	9.96E-03	-2.7068534	-2.957825	-0.32326823	CDH11	5.88E-02	9.96E-03	-2.7068534	-2.957825	-0.32326823	down
204326_x_at	5.89E-02	9.97E-03	2.7064252	-2.958787	0.77784146	MT1X	5.89E-02	9.97E-03	2.7064252	-2.958787	0.77784146	up
1560787_at	5.89E-02	9.97E-03	2.7063722	-2.958906	0.22652121	LOC101929143	5.89E-02	9.97E-03	2.7063722	-2.958906	0.22652121	up
216293_at	5.89E-02	9.97E-03	2.7062769	-2.95912	0.26132354	CLTA	5.89E-02	9.97E-03	2.7062769	-2.95912	0.26132354	up
207493_x_at	5.89E-02	9.99E-03	2.7056838	-2.960453	0.29869594	SSX2B///SSX2	5.89E-02	9.99E-03	2.7056838	-2.960453	0.29869594	up
241433_at	5.90E-02	9.99E-03	-2.7056014	-2.960638	-0.26815026	RCOR3	5.90E-02	9.99E-03	-2.7056014	-2.960638	-0.26815026	down
213443_at	5.90E-02	9.99E-03	2.7054758	-2.96092	0.21301545	TRADD	5.90E-02	9.99E-03	2.7054758	-2.96092	0.21301545	up
204459_at	5.90E-02	1.00E-02	2.705417	-2.961052	0.20187612	CSTF2	5.90E-02	1.00E-02	2.705417	-2.961052	0.20187612	up
241923_x_at	5.90E-02	1.00E-02	2.7052899	-2.961338	0.17198133	NANS	5.90E-02	1.00E-02	2.7052899	-2.961338	0.17198133	up
220176_at	5.90E-02	1.00E-02	-2.7050673	-2.961838	-0.27279331	NUBPL	5.90E-02	1.00E-02	-2.7050673	-2.961838	-0.27279331	down
211528_x_at	5.90E-02	1.00E-02	2.7047651	-2.962516	0.30973627	HLA-G	5.90E-02	1.00E-02	2.7047651	-2.962516	0.30973627	up
224540_at	5.91E-02	1.00E-02	2.7046007	-2.962886	0.2179471	LACRT	5.91E-02	1.00E-02	2.7046007	-2.962886	0.2179471	up
203223_at	5.91E-02	1.00E-02	2.7045359	-2.963031	0.44531751	RABEP1	5.91E-02	1.00E-02	2.7045359	-2.963031	0.44531751	up
1554334_a_at	5.91E-02	1.00E-02	2.7045167	-2.963074	0.36699676	DNAJA4	5.91E-02	1.00E-02	2.7045167	-2.963074	0.36699676	up
224651_at	5.91E-02	1.00E-02	-2.7040702	-2.964077	-0.31046347	CCNY	5.91E-02	1.00E-02	-2.7040702	-2.964077	-0.31046347	down
238854_at	5.91E-02	1.00E-02	-2.7039972	-2.964241	-0.29909623	NRAV	5.91E-02	1.00E-02	-2.7039972	-2.964241	-0.29909623	down
226247_at	5.91E-02	1.00E-02	2.7038391	-2.964596	0.72295421	PLEKHA1	5.91E-02	1.00E-02	2.7038391	-2.964596	0.72295421	up
212850_s_at	5.91E-02	1.00E-02	-2.7038338	-2.964608	-0.29530855	LRP4	5.91E-02	1.00E-02	-2.7038338	-2.964608	-0.29530855	down
204695_at	5.91E-02	1.00E-02	2.7037942	-2.964697	0.28116778	CDC25A	5.91E-02	1.00E-02	2.7037942	-2.964697	0.28116778	up
236541_at	5.91E-02	1.00E-02	2.7037785	-2.964732	0.19869429	ARSA	5.91E-02	1.00E-02	2.7037785	-2.964732	0.19869429	up
232078_at	5.91E-02	1.00E-02	2.7037324	-2.964836	0.48970668	NECTIN2	5.91E-02	1.00E-02	2.7037324	-2.964836	0.48970668	up
226612_at	5.91E-02	1.00E-02	-2.7036242	-2.965079	-0.75223161	UBE2QL1	5.91E-02	1.00E-02	-2.7036242	-2.965079	-0.75223161	down
1557429_s_at	5.91E-02	1.00E-02	2.7033976	-2.965587	0.12421905	FAM227B	5.91E-02	1.00E-02	2.7033976	-2.965587	0.12421905	up
228357_at	5.92E-02	1.00E-02	-2.7033022	-2.965802	-0.37520151	UNK	5.92E-02	1.00E-02	-2.7033022	-2.965802	-0.37520151	down
209069_s_at	5.92E-02	1.01E-02	2.7031962	-2.96604	0.37679555	MIR4738///H3F3B///H3F3A	5.92E-02	1.01E-02	2.7031962	-2.96604	0.37679555	up
1560812_at	5.92E-02	1.01E-02	2.7029676	-2.966553	0.20833875	LOC101928708	5.92E-02	1.01E-02	2.7029676	-2.966553	0.20833875	up
227774_s_at	5.92E-02	1.01E-02	2.7027457	-2.967051	0.18520878	IMPAD1	5.92E-02	1.01E-02	2.7027457	-2.967051	0.18520878	up
218625_at	5.92E-02	1.01E-02	-2.7023558	-2.967926	-0.39197462	NRN1	5.92E-02	1.01E-02	-2.7023558	-2.967926	-0.39197462	down
235721_at	5.92E-02	1.01E-02	-2.7023515	-2.967936	-0.35223847	DTX3	5.92E-02	1.01E-02	-2.7023515	-2.967936	-0.35223847	down
200874_s_at	5.92E-02	1.01E-02	2.7023444	-2.967952	0.19921488	MIR1292///SNORD110///SNORD86///SNORD57///NOP56	5.92E-02	1.01E-02	2.7023444	-2.967952	0.19921488	up
1553385_at	5.93E-02	1.01E-02	2.7020472	-2.968619	0.26176913	LINC01101	5.93E-02	1.01E-02	2.7020472	-2.968619	0.26176913	up
205310_at	5.93E-02	1.01E-02	-2.7020363	-2.968644	-0.26968794	FBXO46	5.93E-02	1.01E-02	-2.7020363	-2.968644	-0.26968794	down
200835_s_at	5.93E-02	1.01E-02	2.7020209	-2.968678	0.29597803	MAP4	5.93E-02	1.01E-02	2.7020209	-2.968678	0.29597803	up
211905_s_at	5.93E-02	1.01E-02	2.701999	-2.968727	0.24197629	ITGB4	5.93E-02	1.01E-02	2.701999	-2.968727	0.24197629	up
238944_at	5.93E-02	1.01E-02	-2.7018805	-2.968993	-0.2413177	LOC100505715	5.93E-02	1.01E-02	-2.7018805	-2.968993	-0.2413177	down
239569_at	5.93E-02	1.01E-02	2.7018768	-2.969002	0.24107481	FZD10-AS1	5.93E-02	1.01E-02	2.7018768	-2.969002	0.24107481	up
1554868_s_at	5.93E-02	1.01E-02	2.7016659	-2.969475	0.77047511	PCNP	5.93E-02	1.01E-02	2.7016659	-2.969475	0.77047511	up
1558230_at	5.93E-02	1.01E-02	2.7014037	-2.970064	0.20356313	SF3B2	5.93E-02	1.01E-02	2.7014037	-2.970064	0.20356313	up
210896_s_at	5.93E-02	1.01E-02	2.7012704	-2.970363	0.54990275	ASPH	5.93E-02	1.01E-02	2.7012704	-2.970363	0.54990275	up
1559518_at	5.93E-02	1.01E-02	-2.7010446	-2.970869	-0.15617766	HSD17B12	5.93E-02	1.01E-02	-2.7010446	-2.970869	-0.15617766	down
207630_s_at	5.94E-02	1.01E-02	2.700875	-2.97125	0.31760174	CREM	5.94E-02	1.01E-02	2.700875	-2.97125	0.31760174	up
215891_s_at	5.94E-02	1.01E-02	2.7007904	-2.97144	0.75239004	GM2A	5.94E-02	1.01E-02	2.7007904	-2.97144	0.75239004	up
225937_at	5.94E-02	1.01E-02	-2.7004954	-2.972102	-0.28835299	CUX1	5.94E-02	1.01E-02	-2.7004954	-2.972102	-0.28835299	down
221570_s_at	5.94E-02	1.01E-02	2.7004882	-2.972118	0.34183241	METTL5	5.94E-02	1.01E-02	2.7004882	-2.972118	0.34183241	up
201366_at	5.94E-02	1.01E-02	2.7004449	-2.972215	0.19317077	ANXA7	5.94E-02	1.01E-02	2.7004449	-2.972215	0.19317077	up
208587_s_at	5.94E-02	1.01E-02	2.7002759	-2.972594	0.21762682	OR1E2///OR1E1	5.94E-02	1.01E-02	2.7002759	-2.972594	0.21762682	up
208303_s_at	5.94E-02	1.01E-02	2.7002183	-2.972723	0.27241385	CRLF2	5.94E-02	1.01E-02	2.7002183	-2.972723	0.27241385	up
226535_at	5.94E-02	1.01E-02	2.7001965	-2.972772	1.45136183	LOC100505984///ITGB6	5.94E-02	1.01E-02	2.7001965	-2.972772	1.45136183	up
216332_at	5.94E-02	1.01E-02	2.7001418	-2.972895	0.18040325	POU6F1	5.94E-02	1.01E-02	2.7001418	-2.972895	0.18040325	up
206099_at	5.94E-02	1.01E-02	2.700055	-2.97309	0.21634212	PRKCH	5.94E-02	1.01E-02	2.700055	-2.97309	0.21634212	up
238644_at	5.94E-02	1.01E-02	2.7000061	-2.9732	0.51791913	MYSM1	5.94E-02	1.01E-02	2.7000061	-2.9732	0.51791913	up
217596_at	5.94E-02	1.01E-02	-2.6999998	-2.973214	-0.19146916	UPF3A	5.94E-02	1.01E-02	-2.6999998	-2.973214	-0.19146916	down
45828_at	5.94E-02	1.01E-02	-2.6999773	-2.973264	-0.20682479	ATP5SL	5.94E-02	1.01E-02	-2.6999773	-2.973264	-0.20682479	down
230119_at	5.94E-02	1.01E-02	2.6999126	-2.973409	0.19247758	EPHB2	5.94E-02	1.01E-02	2.6999126	-2.973409	0.19247758	up
203276_at	5.94E-02	1.01E-02	2.6997419	-2.973792	0.33841655	LMNB1	5.94E-02	1.01E-02	2.6997419	-2.973792	0.33841655	up
223481_s_at	5.94E-02	1.01E-02	2.699718	-2.973846	0.20256489	MRPL47	5.94E-02	1.01E-02	2.699718	-2.973846	0.20256489	up
206851_at	5.94E-02	1.01E-02	2.6994802	-2.974379	0.2574375	RNASE3	5.94E-02	1.01E-02	2.6994802	-2.974379	0.2574375	up
1554821_a_at	5.94E-02	1.01E-02	2.6994639	-2.974416	0.39140552	ZBED1	5.94E-02	1.01E-02	2.6994639	-2.974416	0.39140552	up
206475_x_at	5.94E-02	1.01E-02	2.6993822	-2.974599	0.22488103	GH1///CSHL1///CSH1	5.94E-02	1.01E-02	2.6993822	-2.974599	0.22488103	up
219865_at	5.94E-02	1.02E-02	-2.6993569	-2.974656	-0.53654018	LINC00339	5.94E-02	1.02E-02	-2.6993569	-2.974656	-0.53654018	down
238685_at	5.95E-02	1.02E-02	2.699112	-2.975205	0.18288809	STXBP5-AS1	5.95E-02	1.02E-02	2.699112	-2.975205	0.18288809	up
227192_at	5.95E-02	1.02E-02	-2.6990524	-2.975339	-0.32237773	PRRT2	5.95E-02	1.02E-02	-2.6990524	-2.975339	-0.32237773	down
202771_at	5.95E-02	1.02E-02	2.6990391	-2.975369	0.42865526	PIEZO1	5.95E-02	1.02E-02	2.6990391	-2.975369	0.42865526	up
220400_at	5.95E-02	1.02E-02	2.698776	-2.975959	0.15566793	VPS13B	5.95E-02	1.02E-02	2.698776	-2.975959	0.15566793	up
243208_x_at	5.95E-02	1.02E-02	2.6987579	-2.975999	0.29911081	ACTL9	5.95E-02	1.02E-02	2.6987579	-2.975999	0.29911081	up
238661_at	5.95E-02	1.02E-02	2.6986483	-2.976245	0.21756901	MIR124-2HG	5.95E-02	1.02E-02	2.6986483	-2.976245	0.21756901	up
230349_at	5.95E-02	1.02E-02	2.6985824	-2.976393	0.16072989	XKRX	5.95E-02	1.02E-02	2.6985824	-2.976393	0.16072989	up
223235_s_at	5.95E-02	1.02E-02	-2.698551	-2.976463	-0.97535237	SMOC2	5.95E-02	1.02E-02	-2.698551	-2.976463	-0.97535237	down
208580_x_at	5.95E-02	1.02E-02	2.6984051	-2.976791	0.31899715	HIST2H4B///HIST4H4///HIST2H4A///HIST1H4L///HIST1H4E///HIST1H4B///HIST1H4H///HIST1H4C///HIST1H4J///HIST1H4K///HIST1H4F///HIST1H4D///HIST1H4A///HIST1H4I	5.95E-02	1.02E-02	2.6984051	-2.976791	0.31899715	up
206228_at	5.95E-02	1.02E-02	-2.6982979	-2.977031	-0.4692046	PAX2	5.95E-02	1.02E-02	-2.6982979	-2.977031	-0.4692046	down
231719_at	5.95E-02	1.02E-02	2.6982947	-2.977038	0.19537635	TOR1AIP2	5.95E-02	1.02E-02	2.6982947	-2.977038	0.19537635	up
229741_at	5.95E-02	1.02E-02	-2.6982073	-2.977234	-0.28142536	MAVS	5.95E-02	1.02E-02	-2.6982073	-2.977234	-0.28142536	down
1552860_at	5.96E-02	1.02E-02	2.6979152	-2.977889	0.30908144	LOC101930171///LOC101930165///LOC101929858///LOC101060464///TCEB3CL2///TCEB3CL///TCEB3C	5.96E-02	1.02E-02	2.6979152	-2.977889	0.30908144	up
211985_s_at	5.96E-02	1.02E-02	2.6979105	-2.9779	0.33383812	CALM3///CALM2///CALM1	5.96E-02	1.02E-02	2.6979105	-2.9779	0.33383812	up
1564109_at	5.96E-02	1.02E-02	2.697846	-2.978044	0.20588245	LOC284865	5.96E-02	1.02E-02	2.697846	-2.978044	0.20588245	up
205513_at	5.96E-02	1.02E-02	2.6976459	-2.978493	0.56638537	TCN1	5.96E-02	1.02E-02	2.6976459	-2.978493	0.56638537	up
204400_at	5.96E-02	1.02E-02	-2.697363	-2.979127	-0.54309572	EFS	5.96E-02	1.02E-02	-2.697363	-2.979127	-0.54309572	down
238483_at	5.96E-02	1.02E-02	-2.6973154	-2.979234	-0.25062524	SSBP2	5.96E-02	1.02E-02	-2.6973154	-2.979234	-0.25062524	down
1565752_at	5.96E-02	1.02E-02	2.6972746	-2.979325	0.31884515	FGD2	5.96E-02	1.02E-02	2.6972746	-2.979325	0.31884515	up
220570_at	5.96E-02	1.02E-02	2.6970472	-2.979835	0.19955071	RETN	5.96E-02	1.02E-02	2.6970472	-2.979835	0.19955071	up
208584_at	5.96E-02	1.02E-02	2.6970313	-2.979871	0.25404764	SNCG	5.96E-02	1.02E-02	2.6970313	-2.979871	0.25404764	up
1559139_at	5.96E-02	1.02E-02	-2.6969566	-2.980038	-0.33607948	NOC2L	5.96E-02	1.02E-02	-2.6969566	-2.980038	-0.33607948	down
207256_at	5.97E-02	1.02E-02	2.6968176	-2.98035	0.13415774	MBL2	5.97E-02	1.02E-02	2.6968176	-2.98035	0.13415774	up
204754_at	5.97E-02	1.02E-02	-2.6967144	-2.980581	-0.5623989	HLF	5.97E-02	1.02E-02	-2.6967144	-2.980581	-0.5623989	down
1553443_at	5.97E-02	1.02E-02	2.6967098	-2.980592	0.17217595	FER1L6-AS1	5.97E-02	1.02E-02	2.6967098	-2.980592	0.17217595	up
223100_s_at	5.97E-02	1.02E-02	2.6966114	-2.980812	0.20096387	NUDT5	5.97E-02	1.02E-02	2.6966114	-2.980812	0.20096387	up
223367_at	5.97E-02	1.02E-02	-2.6965223	-2.981012	-0.2493979	DNAJC30	5.97E-02	1.02E-02	-2.6965223	-2.981012	-0.2493979	down
230680_at	5.97E-02	1.02E-02	-2.6962853	-2.981543	-0.54812768	SLITRK4	5.97E-02	1.02E-02	-2.6962853	-2.981543	-0.54812768	down
224645_at	5.97E-02	1.02E-02	-2.6960505	-2.98207	-0.19380075	EIF4EBP2	5.97E-02	1.02E-02	-2.6960505	-2.98207	-0.19380075	down
203280_at	5.98E-02	1.02E-02	-2.6958187	-2.982589	-0.23508125	SAFB2	5.98E-02	1.02E-02	-2.6958187	-2.982589	-0.23508125	down
235212_at	5.98E-02	1.02E-02	2.6957896	-2.982654	0.21621116	NRDE2	5.98E-02	1.02E-02	2.6957896	-2.982654	0.21621116	up
236785_at	5.99E-02	1.03E-02	2.6947353	-2.985017	0.22725241	LOC101928461	5.99E-02	1.03E-02	2.6947353	-2.985017	0.22725241	up
1553139_s_at	5.99E-02	1.03E-02	2.6946892	-2.98512	0.23906736	PLXNA3	5.99E-02	1.03E-02	2.6946892	-2.98512	0.23906736	up
212162_at	5.99E-02	1.03E-02	2.6946728	-2.985157	0.44903274	KIDINS220	5.99E-02	1.03E-02	2.6946728	-2.985157	0.44903274	up
240298_at	5.99E-02	1.03E-02	-2.6944877	-2.985571	-0.19517926	LOC147791	5.99E-02	1.03E-02	-2.6944877	-2.985571	-0.19517926	down
200732_s_at	5.99E-02	1.03E-02	2.6944328	-2.985694	0.67055806	PTP4A1	5.99E-02	1.03E-02	2.6944328	-2.985694	0.67055806	up
203706_s_at	5.99E-02	1.03E-02	-2.6943803	-2.985812	-0.53956638	FZD7	5.99E-02	1.03E-02	-2.6943803	-2.985812	-0.53956638	down
201576_s_at	5.99E-02	1.03E-02	2.6942001	-2.986216	0.25714179	TMPPE///GLB1	5.99E-02	1.03E-02	2.6942001	-2.986216	0.25714179	up
1565639_a_at	5.99E-02	1.03E-02	2.6941104	-2.986417	0.18025985	PMP22	5.99E-02	1.03E-02	2.6941104	-2.986417	0.18025985	up
214958_s_at	5.99E-02	1.03E-02	2.6940822	-2.98648	0.28238836	TMC6	5.99E-02	1.03E-02	2.6940822	-2.98648	0.28238836	up
222140_s_at	6.00E-02	1.03E-02	-2.693539	-2.987697	-0.33421748	GPR89A///GPR89B	6.00E-02	1.03E-02	-2.693539	-2.987697	-0.33421748	down
217452_s_at	6.00E-02	1.03E-02	-2.6934849	-2.987818	-0.16059077	B3GALT2	6.00E-02	1.03E-02	-2.6934849	-2.987818	-0.16059077	down
220306_at	6.00E-02	1.03E-02	-2.6930786	-2.988728	-0.39688785	FAM46C	6.00E-02	1.03E-02	-2.6930786	-2.988728	-0.39688785	down
36545_s_at	6.02E-02	1.03E-02	-2.692175	-2.990751	-0.3144859	SFI1	6.02E-02	1.03E-02	-2.692175	-2.990751	-0.3144859	down
228159_at	6.02E-02	1.03E-02	-2.6921414	-2.990827	-0.24233633	WDFY2	6.02E-02	1.03E-02	-2.6921414	-2.990827	-0.24233633	down
205068_s_at	6.02E-02	1.03E-02	2.6920942	-2.990932	0.29370224	ARHGAP26	6.02E-02	1.03E-02	2.6920942	-2.990932	0.29370224	up
1556314_a_at	6.02E-02	1.03E-02	-2.6920318	-2.991072	-0.33870334	ZNF366	6.02E-02	1.03E-02	-2.6920318	-2.991072	-0.33870334	down
218974_at	6.02E-02	1.03E-02	-2.6920316	-2.991072	-0.40894869	SOBP	6.02E-02	1.03E-02	-2.6920316	-2.991072	-0.40894869	down
206257_at	6.02E-02	1.03E-02	2.6919803	-2.991187	0.2092054	CCDC9	6.02E-02	1.03E-02	2.6919803	-2.991187	0.2092054	up
210322_x_at	6.02E-02	1.03E-02	2.6919721	-2.991206	0.27345508	UTY	6.02E-02	1.03E-02	2.6919721	-2.991206	0.27345508	up
220962_s_at	6.02E-02	1.03E-02	2.6918342	-2.991514	0.21755952	PADI1	6.02E-02	1.03E-02	2.6918342	-2.991514	0.21755952	up
202852_s_at	6.02E-02	1.03E-02	-2.6917863	-2.991622	-0.62639534	AAGAB	6.02E-02	1.03E-02	-2.6917863	-2.991622	-0.62639534	down
236100_at	6.02E-02	1.04E-02	2.6914808	-2.992305	0.17679892	FBXO10	6.02E-02	1.04E-02	2.6914808	-2.992305	0.17679892	up
239196_at	6.02E-02	1.04E-02	2.691433	-2.992413	0.32176976	ANKRD22	6.02E-02	1.04E-02	2.691433	-2.992413	0.32176976	up
221009_s_at	6.02E-02	1.04E-02	2.691401	-2.992484	0.36994076	ANGPTL4	6.02E-02	1.04E-02	2.691401	-2.992484	0.36994076	up
215419_at	6.02E-02	1.04E-02	2.6913705	-2.992552	0.18567841	ZFR2	6.02E-02	1.04E-02	2.6913705	-2.992552	0.18567841	up
1555159_at	6.02E-02	1.04E-02	2.6912884	-2.992736	0.19009188	TMEM74	6.02E-02	1.04E-02	2.6912884	-2.992736	0.19009188	up
1557009_a_at	6.02E-02	1.04E-02	2.6911869	-2.992963	0.1071177	LOC340107	6.02E-02	1.04E-02	2.6911869	-2.992963	0.1071177	up
231748_at	6.02E-02	1.04E-02	2.6911522	-2.993041	0.21531286	ULBP3	6.02E-02	1.04E-02	2.6911522	-2.993041	0.21531286	up
226697_at	6.02E-02	1.04E-02	2.6911509	-2.993044	0.36286504	FAM114A1	6.02E-02	1.04E-02	2.6911509	-2.993044	0.36286504	up
244343_at	6.02E-02	1.04E-02	2.6910801	-2.993202	0.18765505	LOC100507330	6.02E-02	1.04E-02	2.6910801	-2.993202	0.18765505	up
241084_x_at	6.02E-02	1.04E-02	2.6909447	-2.993506	0.21327891	DYNC1H1	6.02E-02	1.04E-02	2.6909447	-2.993506	0.21327891	up
208460_at	6.02E-02	1.04E-02	2.6908917	-2.993624	0.22398854	GJC1	6.02E-02	1.04E-02	2.6908917	-2.993624	0.22398854	up
211721_s_at	6.02E-02	1.04E-02	-2.6908883	-2.993632	-0.4092422	ZNF551	6.02E-02	1.04E-02	-2.6908883	-2.993632	-0.4092422	down
1566324_a_at	6.02E-02	1.04E-02	-2.6907845	-2.993864	-0.40210847	MAF	6.02E-02	1.04E-02	-2.6907845	-2.993864	-0.40210847	down
210626_at	6.02E-02	1.04E-02	2.6906359	-2.994197	0.27615198	AKAP1	6.02E-02	1.04E-02	2.6906359	-2.994197	0.27615198	up
237407_at	6.02E-02	1.04E-02	2.6906201	-2.994232	0.18951087	HS1BP3	6.02E-02	1.04E-02	2.6906201	-2.994232	0.18951087	up
242159_at	6.03E-02	1.04E-02	2.6904385	-2.994638	0.16699926	LOC105369739	6.03E-02	1.04E-02	2.6904385	-2.994638	0.16699926	up
235312_s_at	6.03E-02	1.04E-02	2.6904106	-2.994701	0.23058161	NRAP	6.03E-02	1.04E-02	2.6904106	-2.994701	0.23058161	up
226027_at	6.03E-02	1.04E-02	-2.6900577	-2.995491	-0.28212607	SWI5	6.03E-02	1.04E-02	-2.6900577	-2.995491	-0.28212607	down
212335_at	6.03E-02	1.04E-02	2.6900343	-2.995543	0.25295207	GNS	6.03E-02	1.04E-02	2.6900343	-2.995543	0.25295207	up
212549_at	6.03E-02	1.04E-02	-2.6898908	-2.995864	-0.18100594	STAT5B	6.03E-02	1.04E-02	-2.6898908	-2.995864	-0.18100594	down
53202_at	6.03E-02	1.04E-02	-2.689852	-2.995951	-0.26290778	C7orf25///PSMA2	6.03E-02	1.04E-02	-2.689852	-2.995951	-0.26290778	down
201616_s_at	6.04E-02	1.04E-02	2.6893837	-2.996999	0.66807925	CALD1	6.04E-02	1.04E-02	2.6893837	-2.996999	0.66807925	up
234813_at	6.04E-02	1.04E-02	2.689347	-2.997081	0.22032496	TMEM108	6.04E-02	1.04E-02	2.689347	-2.997081	0.22032496	up
202845_s_at	6.04E-02	1.04E-02	-2.6892326	-2.997337	-0.23234371	RALBP1	6.04E-02	1.04E-02	-2.6892326	-2.997337	-0.23234371	down
217436_x_at	6.04E-02	1.04E-02	2.6891906	-2.997431	0.33422645	HLA-J	6.04E-02	1.04E-02	2.6891906	-2.997431	0.33422645	up
1553467_at	6.04E-02	1.04E-02	2.6891349	-2.997556	0.19686833	FLJ32742///DCAF8L2	6.04E-02	1.04E-02	2.6891349	-2.997556	0.19686833	up
228850_s_at	6.04E-02	1.04E-02	-2.6889734	-2.997917	-0.54470126	SLIT2	6.04E-02	1.04E-02	-2.6889734	-2.997917	-0.54470126	down
219844_at	6.04E-02	1.04E-02	2.6888047	-2.998294	0.36765182	CCDC186	6.04E-02	1.04E-02	2.6888047	-2.998294	0.36765182	up
223596_at	6.04E-02	1.04E-02	-2.6886646	-2.998608	-0.64841166	SLC12A6	6.04E-02	1.04E-02	-2.6886646	-2.998608	-0.64841166	down
1553099_at	6.04E-02	1.04E-02	-2.688599	-2.998755	-0.35641814	TIGD1	6.04E-02	1.04E-02	-2.688599	-2.998755	-0.35641814	down
222577_at	6.04E-02	1.04E-02	2.6885822	-2.998792	0.21557295	CCDC90B	6.04E-02	1.04E-02	2.6885822	-2.998792	0.21557295	up
206062_at	6.04E-02	1.04E-02	2.6885706	-2.998818	0.22782191	GUCA1A	6.04E-02	1.04E-02	2.6885706	-2.998818	0.22782191	up
207833_s_at	6.04E-02	1.04E-02	2.6885324	-2.998904	0.20787306	HLCS	6.04E-02	1.04E-02	2.6885324	-2.998904	0.20787306	up
212188_at	6.04E-02	1.04E-02	2.6885093	-2.998955	0.77707941	KCTD12	6.04E-02	1.04E-02	2.6885093	-2.998955	0.77707941	up
222143_s_at	6.04E-02	1.04E-02	-2.6884325	-2.999127	-0.22240482	MTMR14	6.04E-02	1.04E-02	-2.6884325	-2.999127	-0.22240482	down
216579_at	6.04E-02	1.04E-02	2.6883737	-2.999258	0.333523	GJB4	6.04E-02	1.04E-02	2.6883737	-2.999258	0.333523	up
234683_at	6.04E-02	1.04E-02	2.6883277	-2.999361	0.18796805	LOC101930568///KRTAP4-6	6.04E-02	1.04E-02	2.6883277	-2.999361	0.18796805	up
209412_at	6.04E-02	1.04E-02	-2.6883116	-2.999397	-0.29101209	LOC102724200///TRAPPC10	6.04E-02	1.04E-02	-2.6883116	-2.999397	-0.29101209	down
217989_at	6.04E-02	1.04E-02	2.6880238	-3.000041	0.43583993	HSD17B11	6.04E-02	1.04E-02	2.6880238	-3.000041	0.43583993	up
215955_x_at	6.04E-02	1.04E-02	2.6878519	-3.000426	0.20321503	ARHGAP26	6.04E-02	1.04E-02	2.6878519	-3.000426	0.20321503	up
65591_at	6.04E-02	1.05E-02	2.6878017	-3.000538	0.25312059	WDR48	6.04E-02	1.05E-02	2.6878017	-3.000538	0.25312059	up
206746_at	6.04E-02	1.05E-02	2.6877697	-3.00061	0.30526604	BFSP1	6.04E-02	1.05E-02	2.6877697	-3.00061	0.30526604	up
221059_s_at	6.05E-02	1.05E-02	-2.6875087	-3.001193	-0.52161027	COTL1	6.05E-02	1.05E-02	-2.6875087	-3.001193	-0.52161027	down
200737_at	6.05E-02	1.05E-02	2.68744	-3.001347	0.17298915	PGK1	6.05E-02	1.05E-02	2.68744	-3.001347	0.17298915	up
